,host_response_time,host_response_rate,host_is_superhost,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,minimum_nights,availability_30,number_of_reviews,instant_bookable,cancellation_policy,wifi,tv,ac,kitchen,hair_dryer,free_park
5418,2,1.0,0,1,1,2,1,1.0,1.0,1.0,1,45,3,0,6,1,1,1,0,1,1,1,0
5420,1,1.0,0,1,1,2,2,1.0,1.0,1.0,1,77,5,0,9,1,3,1,1,0,1,0,0
5422,1,1.0,1,0,1,2,1,1.0,1.0,1.0,1,56,2,15,30,0,3,1,1,0,1,1,0
5426,1,1.0,0,1,1,1,5,1.0,1.0,3.0,1,125,3,0,29,0,1,1,1,1,1,1,0
5427,1,1.0,0,1,1,1,2,1.0,0.0,1.0,1,75,3,11,10,0,1,1,0,0,1,0,0
5428,1,1.0,1,1,1,2,2,2.0,1.0,1.0,1,89,1,4,101,0,1,1,0,1,1,1,0
5429,1,1.0,0,1,1,1,2,1.0,0.0,1.0,1,120,3,20,57,0,2,1,1,1,1,0,0
5430,2,1.0,0,1,1,1,6,2.0,3.0,4.0,1,150,7,0,4,0,1,1,1,1,1,1,0
5431,2,1.0,1,1,1,1,5,3.5,3.0,5.0,1,285,2,2,12,0,2,1,1,1,1,1,0
5432,1,1.0,0,1,1,2,2,1.0,1.0,1.0,1,65,1,6,56,1,2,1,1,1,1,0,1
5433,1,1.0,0,1,1,2,2,1.0,1.0,1.0,1,65,1,4,143,1,1,1,0,1,1,0,0
5434,2,1.0,0,1,1,2,2,1.0,1.0,2.0,1,65,3,29,0,0,1,1,1,0,1,0,0
5435,1,1.0,1,1,1,2,1,1.0,1.0,1.0,1,55,5,0,6,0,1,1,1,1,1,0,0
5437,1,1.0,0,0,3,2,2,1.0,1.0,1.0,1,75,2,29,0,0,1,1,0,1,1,1,0
5438,1,1.0,0,1,1,2,2,1.0,1.0,1.0,1,75,3,0,16,0,3,1,1,0,1,0,0
5439,3,0.9,0,1,1,1,3,1.0,1.0,1.0,1,95,1,9,22,0,1,1,1,1,1,1,1
5441,1,1.0,0,0,1,2,1,1.0,1.0,1.0,1,38,1,0,1,0,3,1,0,0,1,1,0
5442,1,1.0,0,1,1,1,3,1.0,1.0,3.0,1,50,6,0,1,1,2,1,0,0,1,1,0
5443,1,1.0,0,1,1,2,2,1.0,1.0,1.0,1,65,1,13,56,1,2,1,1,1,1,1,1
5444,1,0.75,0,1,1,2,2,1.5,1.0,1.0,1,40,2,1,8,0,2,1,1,1,1,0,0
5446,1,1.0,1,1,1,1,2,1.0,0.0,1.0,1,70,3,7,35,0,2,1,1,1,1,0,0
5447,1,1.0,1,1,1,2,1,1.0,1.0,1.0,1,65,5,0,0,1,3,1,1,1,1,1,0
5448,1,1.0,0,1,1,1,2,1.0,1.0,1.0,1,150,3,19,61,0,1,1,1,1,1,0,0
5449,1,1.0,0,1,1,2,1,1.0,1.0,1.0,1,45,7,5,49,1,2,1,1,0,1,0,0
5450,3,1.0,0,1,1,2,2,1.0,1.0,1.0,1,58,2,17,30,0,3,1,0,1,1,0,0
5456,1,0.9,0,1,1,1,3,1.0,1.0,1.0,1,125,2,3,118,0,1,1,1,1,1,1,1
5457,2,1.0,0,1,1,1,3,1.0,1.0,2.0,1,70,26,0,0,1,3,1,0,1,1,0,0
5460,1,1.0,0,1,1,2,2,1.0,1.0,1.0,1,82,3,21,38,0,2,1,1,1,1,1,1
